name,director,actors,genre,other,year,link
3:15,Larry Gross,NA,Crime drama,NA,1986,/w/index.php?title=3:15_(film)&action=edit&redlink=1
12:01 PM,Jonathan Heap,Kurtwood Smith,Short subject,25 minutes,1990,/wiki/12:01_PM_(1990_film)
21,Robert Luketic,NA,Drama,NA,2008,/wiki/21_(2008_film)
54,Mark Christopher,NA,Drama,Miramax Films,1998,/wiki/54_(film)
300,Zack Snyder,NA,Action,NA,2007,/wiki/300_(film)
1776,Peter H. Hunt,NA,Musical,NA,1972,/wiki/1776_(film)
1941,Steven Spielberg,NA,Comedy,NA,1979,/wiki/1941_(film)
1969,Ernest Thompson,NA,Drama,NA,1988,/wiki/1969_(film)
2010,Peter Hyams,NA,Science fiction,NA,1984,/wiki/2010_(film)
2012,Roland Emmerich,NA,Disaster,Columbia Pictures,2009,/wiki/2012_(film)
9/30/1955,James Bridges,NA,Drama,Universal,1977,"/wiki/September_30,_1955"
10/22/2017,Richard Schenkman,NA,Drama,NA,1998,/wiki/October_22_(film)
-30-,Jack Webb,NA,Drama,Warner Bros.,1959,/wiki/-30-_(film)
...All the Marbles,Robert Aldrich,Peter Falk,"Comedy, Drama",Aldrich's final film,1981,/wiki/...All_the_Marbles
...And Justice for All,Norman Jewison,NA,"Drama, Comedy",NA,1979,/wiki/...And_Justice_for_All_(film)
...tick...tick...tick...,Ralph Nelson,NA,Action,MGM,1970,/wiki/...tick...tick...tick...
"$1,000 a Touchdown",James P. Hogan,NA,Comedy,Paramount,1939,"/wiki/$1,000_a_Touchdown"
10 Items or Less,Brad Silberling,NA,Comedy,NA,2006,/wiki/10_Items_or_Less_(film)
10 Things I Hate About You,Gil Junger,NA,Romantic comedy,NA,1999,/wiki/10_Things_I_Hate_About_You
10 to Midnight,J. Lee Thompson,NA,Action,Cannon,1983,/wiki/10_to_Midnight
10:30 P.M. Summer,Jules Dassin,NA,Drama,NA,1966,/wiki/10:30_P.M._Summer
100 Pygmies and Andy Panda,Alex Lovy,NA,NA,NA,1940,/w/index.php?title=100_Pygmies_and_Andy_Panda&action=edit&redlink=1
100 Rifles,Tom Gries,NA,Western,20th Century Fox,1969,/wiki/100_Rifles
101 Dalmatians,Stephen Herek,NA,Comedy,NA,1996,/wiki/101_Dalmatians_(1996_film)
101 Dalmatians II: Patch's London Adventure,Jim Kammerud,NA,Animated,Direct to DVD,2003,/wiki/101_Dalmatians_II:_Patch%27s_London_Adventure
10th & Wolf,Robert Moresco,NA,Crime drama,NA,2006,/wiki/10th_%26_Wolf
11 Harrowhouse,Aram Avakian,NA,Drama,Fox,1974,/wiki/11_Harrowhouse
12 Angry Men,Sidney Lumet,NA,Drama,NA,1957,/wiki/12_Angry_Men_(1957_film)
12 Angry Men,William Friedkin,NA,Drama,Made for TV,1997,/wiki/12_Angry_Men_(1997_film)
12 Rounds,Renny Harlin,NA,Action,NA,2009,/wiki/12_Rounds_(film)
13 Ghosts,William Castle,NA,Horror,NA,1960,/wiki/13_Ghosts
13 Rue Madeleine,Henry Hathaway,NA,Spy,NA,1947,/wiki/13_Rue_Madeleine
13 West Street,Philip Leacock,NA,Drama,NA,1962,/wiki/13_West_Street
1492: Conquest of Paradise,Ridley Scott,NA,"Drama, Biography",NA,1992,/wiki/1492:_Conquest_of_Paradise
15 Maiden Lane,Allan Dwan,NA,"Drama, Crime",Paramount,1936,/wiki/15_Maiden_Lane
16 Blocks,Richard Donner,NA,Crime drama,NA,2006,/wiki/16_Blocks
17 Again,Burr Steers,NA,NA,New Line Cinema,2009,/wiki/17_Again_(film)
18 Again!,Paul Flaherty,NA,Comedy,NA,1988,/wiki/18_Again!
1991: The Year Punk Broke,Dave Markey,NA,Documentary,NA,1992,/wiki/1991:_The_Year_Punk_Broke
2 Days in the Valley,John Herzfeld,NA,"Comedy, Crime",NA,1996,/wiki/2_Days_in_the_Valley
2 Fast 2 Furious,John Singleton,NA,NA,NA,2003,/wiki/2_Fast_2_Furious
20 Dates,Myles Berkowitz,NA,Mockumentary,NA,1998,/wiki/20_Dates
20 Million Miles to Earth,Nathan H. Juran,NA,Science fiction,Columbia,1957,/wiki/20_Million_Miles_to_Earth
20 Mule Team,Richard Thorpe,NA,Western,MGM,1940,/wiki/20_Mule_Team
"20,000 Leagues Under the Sea",Richard Fleischer,NA,Adventure,NA,1954,"/wiki/20,000_Leagues_Under_the_Sea_(1954_film)"
"20,000 Leagues Under the Sea",Michael Anderson,NA,Adventure,Made for TV,1997,"/wiki/20,000_Leagues_Under_the_Sea_(1997_Hallmark_film)"
"20,000 Leagues Under the Sea",Rod Hardy,NA,Adventure,Made for TV,1997,"/wiki/20,000_Leagues_Under_the_Sea_(1997_Village_Roadshow_film)"
"20,000 Men a Year",Alfred E. Green,NA,Drama,Cosmopolitan Productions,1939,"/wiki/20,000_Men_a_Year"
"20,000 Years in Sing Sing",NA,NA,Drama,NA,1932,"/wiki/20,000_Years_in_Sing_Sing"
200 Cigarettes,Risa Bramon Garcia,NA,"Comedy, Drama",NA,1999,/wiki/200_Cigarettes
200 Motels,NA,NA,"comedy, musical",United Artists,1971,/wiki/200_Motels
2001: A Space Odyssey,Stanley Kubrick,NA,Science fiction,NA,1968,/wiki/2001:_A_Space_Odyssey_(film)
23 Paces to Baker Street,Henry Hathaway,NA,Thriller,NA,1956,/wiki/23_Paces_to_Baker_Street
24 Hours,Marion Gering,NA,Drama,NA,1931,/wiki/24_Hours_(1931_film)
24 Hours of a Woman's Life,Victor Saville,NA,Drama,Allied Artists,1952,/wiki/24_Hours_of_a_Woman%27s_Life
25th Hour,Spike Lee,NA,Drama,NA,2002,/wiki/25th_Hour
27 Dresses,Anne Fletcher,NA,Romantic comedy,20th Century Fox,2008,/wiki/27_Dresses
28 Days,Betty Thomas,NA,Drama,Columbia Pictures,2000,/wiki/28_Days_(film)
29 Reasons to Run,Damon O'Steen,Gary Weeks,Comedy,NA,2006,/w/index.php?title=29_Reasons_to_Run&action=edit&redlink=1
29th Street,George Gallo,NA,Drama,Fox,1991,/wiki/29th_Street_(film)
3 A.M.,Lee Davis,NA,Crime drama,NA,2001,NA
3 Chains o' Gold,Three directors,NA,Musical,NA,1994,/wiki/3_Chains_o%27_Gold_(film)
