Abraham Lincoln,D. W. Griffith,NA,Drama,NA,1930
Africa Speaks!,Walter Futter,NA,Documentary,NA,1930
All Quiet on the Western Front,Lewis Milestone,NA,"Drama, War",NA,1930
Along Came Youth,Lloyd Corrigan,NA,Comedy,NA,1930
Animal Crackers,Victor Heerman,NA,Comedy,NA,1930
Anna Christie,Clarence Brown,NA,Drama,NA,1930
Anybody's Woman,Dorothy Arzner,NA,Drama,NA,1930
Around the Corner,Bert Glennon,NA,Comedy,NA,1930
Back Pay,William A. Seiter,NA,"Comedy, Drama",NA,1930
The Bad Man,Clarence G. Badger,NA,Western,NA,1930
The Bad One,George Fitzmaurice,NA,Musical,NA,1930
The Bat Whispers,Roland West,NA,"Horror, Comedy",NA,1930
The Benson Murder Case,Frank Tuttle,NA,Drama,NA,1930
Big Boy,Alan Crosland,NA,Musical,NA,1930
The Big House,George W. Hill,NA,Drama,NA,1930
The Big Pond,Hobart Henley,NA,Romantic comedy,NA,1930
The Big Trail,Raoul Walsh,NA,Western,NA,1930
Billy the Kid,King Vidor,NA,Western,NA,1930
The Border Legion,Otto Brewer,NA,Western,NA,1930
Born Reckless,NA,NA,"Drama, Crime",NA,1930
Bride of the Regiment,John Francis Dillon,NA,Musical,NA,1930
Bright Lights,Michael Curtiz,NA,Musical,NA,1930
Burning Up,A. Edward Sutherland,NA,Drama,NA,1930
Call of the Flesh,Charles Brabin,NA,Musical,NA,1930
Call of the West,Albert Ray,NA,Western,NA,1930
The Cat Creeps,Rupert Julian,NA,Mystery,NA,1930
Chasing Rainbows,Charles Reisner,NA,Musical,NA,1930
Check and Double Check,Melville W. Brown,NA,Comedy,NA,1930
Children of Pleasure,Harry Beaumont,NA,Musical comedy,NA,1930
City Girl,F. W. Murnau,NA,Drama,NA,1930
Common Clay,Victor Fleming,NA,Drama,NA,1930
Conspiracy,Christy Cabanne,NA,Drama,NA,1930
Courage,Archie Mayo,NA,Drama,NA,1930
Crazy That Way,Hamilton MacFadden,NA,Comedy,NA,1930
The Cuckoos,Paul Sloane,NA,Musical comedy,NA,1930
Dancing Sweeties,Ray Enright,NA,Romantic comedy,NA,1930
Danger Lights,George B. Seitz,NA,Drama,NA,1930
Dangerous Nan McGrew,Malcolm St. Clair,NA,"Comedy, Western",NA,1930
Dangerous Paradise,William A. Wellman,NA,Drama,NA,1930
The Dawn Patrol,Howard Hawks,NA,"Drama, War",NA,1930
Derelict,Rowland V. Lee,NA,Adventure,NA,1930
The Devil to Pay!,George Fitzmaurice,NA,Comedy,NA,1930
A Devil With Women,Irving Cummings,NA,Drama,NA,1930
Divorce Among Friends,Roy Del Ruth,NA,Comedy,NA,1930
The Divorcee,Robert Z. Leonard,NA,Drama,NA,1930
Dixiana,Luther Reed,NA,Musical,NA,1930
The Doorway to Hell,Archie Mayo,NA,"Drama, Crime",NA,1930
Doughboys,Edward Sedgwick,NA,Comedy,NA,1930
East Is West,Monta Bell,NA,Drama,NA,1930
Extravagance,Phil Rosen,NA,Drama,NA,1930
The Eyes of the World,Henry King,NA,Drama,NA,1930
The Fall Guy,Leslie Pearce,NA,Comedy,NA,1930
Fast and Loose,Fred C. Newmeyer,NA,Romantic comedy,NA,1930
Feet First,Clyde Bruckman,NA,Comedy,NA,1930
The Flirting Widow,William A. Seiter,NA,Comedy,NA,1930
Follow the Leader,NA,NA,Musical comedy,NA,1930
Follow Thru,Lloyd Corrigan,NA,Musical comedy,NA,1930
For the Defense,John Cromwell,NA,Drama,NA,1930
Free and Easy,Edward Sedgwick,NA,Comedy,NA,1930
General Crack,Alan Crosland,NA,Drama,NA,1930
The Girl of the Golden West,John Francis Dillon,NA,Drama,NA,1930
The Girl Said No,Sam Wood,NA,Comedy,NA,1930
The Green Goddess,Alfred E. Green,NA,Adventure,NA,1930
Golden Dawn,Ray Enright,NA,Operetta,NA,1930
Going Wild,William A. Seiter,NA,Musical,NA,1930
Good News,Nick Grinde,NA,Musical,NA,1930
Grumpy,George Cukor,NA,Drama,NA,1930
Half Shot at Sunrise,Paul Sloane,NA,Comedy,NA,1930
Hell Harbor,Henry King,NA,Drama,NA,1930
Hell's Angels,Howard Hughes,NA,"Drama, War",NA,1930
Hell's Heroes,William Wyler,NA,Western,NA,1930
High Society Blues,David Butler,NA,"Musical, Comedy",NA,1930
Hold Everything,Roy Del Ruth,NA,Musical comedy,NA,1930
Holiday,Edward H. Griffith,NA,Romantic comedy,NA,1930
Honey,Wesley Ruggles,NA,Comedy,NA,1930
"Hook, Line and Sinker",Edward F. Cline,NA,Comedy,NA,1930
Hot Curves,Norman Taurog,NA,Comedy,NA,1930
In Gay Madrid,Robert Z. Leonard,NA,Musical comedy,NA,1930
In the Next Room,Edward F. Cline,NA,Mystery,NA,1930
Ingagi,William Campbell,NA,Exploitation,NA,1930
Inside the Lines,Roy Pomeroy,NA,"Drama, War",NA,1930
Journey's End,James Whale,NA,War,co-produced with GB,1930
Just Imagine,David Butler,NA,Musical,NA,1930
King of Jazz,John Murray Anderson,NA,Musical,NA,1930
Kismet,John Francis Dillon,NA,Costume drama,NA,1930
Ladies Love Brutes,Rowland V. Lee,NA,NA,NA,1930
Ladies of Leisure,Frank Capra,NA,Romantic drama,NA,1930
The Lady of Scandal,Sidney Franklin,NA,Romantic comedy,NA,1930
A Lady to Love,Victor Sjostrom,NA,Drama,NA,1930
Leathernecking,Edward F. Cline,J. Roy Hunt,Musical comedy,NA,1930
Let Us Be Gay,Robert Z. Leonard,NA,Comedy drama,NA,1930
Let's Go Native,Leo McCarey,NA,Musical comedy,NA,1930
The Life of the Party,Roy Del Ruth,NA,Musical comedy,NA,1930
Lightnin',Henry King,NA,Comedy,NA,1930
Lilies of the Field,Alexander Korda,NA,Drama,NA,1930
Little Accident,William James Craft,NA,Comedy,NA,1930
Loose Ankles,Ted Wilde,NA,Romantic comedy,NA,1930
