Abraham Lincoln,D. W. Griffith,,Drama,,1930
Africa Speaks!,Walter Futter,,Documentary,,1930
All Quiet on the Western Front,Lewis Milestone,,"Drama, War",,1930
Along Came Youth,Lloyd Corrigan,,Comedy,,1930
Animal Crackers,Victor Heerman,,Comedy,,1930
Anna Christie,Clarence Brown,,Drama,,1930
Anybody's Woman,Dorothy Arzner,,Drama,,1930
Around the Corner,Bert Glennon,,Comedy,,1930
Back Pay,William A. Seiter,,"Comedy, Drama",,1930
The Bad Man,Clarence G. Badger,,Western,,1930
The Bad One,George Fitzmaurice,,Musical,,1930
The Bat Whispers,Roland West,,"Horror, Comedy",,1930
The Benson Murder Case,Frank Tuttle,,Drama,,1930
Big Boy,Alan Crosland,,Musical,,1930
The Big House,George W. Hill,,Drama,,1930
The Big Pond,Hobart Henley,,Romantic comedy,,1930
The Big Trail,Raoul Walsh,,Western,,1930
Billy the Kid,King Vidor,,Western,,1930
The Border Legion,Otto Brewer,,Western,,1930
Born Reckless,,,"Drama, Crime",,1930
Bride of the Regiment,John Francis Dillon,,Musical,,1930
Bright Lights,Michael Curtiz,,Musical,,1930
Burning Up,A. Edward Sutherland,,Drama,,1930
Call of the Flesh,Charles Brabin,,Musical,,1930
Call of the West,Albert Ray,,Western,,1930
The Cat Creeps,Rupert Julian,,Mystery,,1930
Chasing Rainbows,Charles Reisner,,Musical,,1930
Check and Double Check,Melville W. Brown,,Comedy,,1930
Children of Pleasure,Harry Beaumont,,Musical comedy,,1930
City Girl,F. W. Murnau,,Drama,,1930
Common Clay,Victor Fleming,,Drama,,1930
Conspiracy,Christy Cabanne,,Drama,,1930
Courage,Archie Mayo,,Drama,,1930
Crazy That Way,Hamilton MacFadden,,Comedy,,1930
The Cuckoos,Paul Sloane,,Musical comedy,,1930
Dancing Sweeties,Ray Enright,,Romantic comedy,,1930
Danger Lights,George B. Seitz,,Drama,,1930
Dangerous Nan McGrew,Malcolm St. Clair,,"Comedy, Western",,1930
Dangerous Paradise,William A. Wellman,,Drama,,1930
The Dawn Patrol,Howard Hawks,,"Drama, War",,1930
Derelict,Rowland V. Lee,,Adventure,,1930
The Devil to Pay!,George Fitzmaurice,,Comedy,,1930
A Devil With Women,Irving Cummings,,Drama,,1930
Divorce Among Friends,Roy Del Ruth,,Comedy,,1930
The Divorcee,Robert Z. Leonard,,Drama,,1930
Dixiana,Luther Reed,,Musical,,1930
The Doorway to Hell,Archie Mayo,,"Drama, Crime",,1930
Doughboys,Edward Sedgwick,,Comedy,,1930
East Is West,Monta Bell,,Drama,,1930
Extravagance,Phil Rosen,,Drama,,1930
The Eyes of the World,Henry King,,Drama,,1930
The Fall Guy,Leslie Pearce,,Comedy,,1930
Fast and Loose,Fred C. Newmeyer,,Romantic comedy,,1930
Feet First,Clyde Bruckman,,Comedy,,1930
The Flirting Widow,William A. Seiter,,Comedy,,1930
Follow the Leader,,,Musical comedy,,1930
Follow Thru,Lloyd Corrigan,,Musical comedy,,1930
For the Defense,John Cromwell,,Drama,,1930
Free and Easy,Edward Sedgwick,,Comedy,,1930
General Crack,Alan Crosland,,Drama,,1930
The Girl of the Golden West,John Francis Dillon,,Drama,,1930
The Girl Said No,Sam Wood,,Comedy,,1930
The Green Goddess,Alfred E. Green,,Adventure,,1930
Golden Dawn,Ray Enright,,Operetta,,1930
Going Wild,William A. Seiter,,Musical,,1930
Good News,Nick Grinde,,Musical,,1930
Grumpy,George Cukor,,Drama,,1930
Half Shot at Sunrise,Paul Sloane,,Comedy,,1930
Hell Harbor,Henry King,,Drama,,1930
Hell's Angels,Howard Hughes,,"Drama, War",,1930
Hell's Heroes,William Wyler,,Western,,1930
High Society Blues,David Butler,,"Musical, Comedy",,1930
Hold Everything,Roy Del Ruth,,Musical comedy,,1930
Holiday,Edward H. Griffith,,Romantic comedy,,1930
Honey,Wesley Ruggles,,Comedy,,1930
"Hook, Line and Sinker",Edward F. Cline,,Comedy,,1930
Hot Curves,Norman Taurog,,Comedy,,1930
In Gay Madrid,Robert Z. Leonard,,Musical comedy,,1930
In the Next Room,Edward F. Cline,,Mystery,,1930
Ingagi,William Campbell,,Exploitation,,1930
Inside the Lines,Roy Pomeroy,,"Drama, War",,1930
Journey's End,James Whale,,War,co-produced with GB,1930
Just Imagine,David Butler,,Musical,,1930
King of Jazz,John Murray Anderson,,Musical,,1930
Kismet,John Francis Dillon,,Costume drama,,1930
Ladies Love Brutes,Rowland V. Lee,,,,1930
Ladies of Leisure,Frank Capra,,Romantic drama,,1930
The Lady of Scandal,Sidney Franklin,,Romantic comedy,,1930
A Lady to Love,Victor Sjostrom,,Drama,,1930
Leathernecking,Edward F. Cline,J. Roy Hunt,Musical comedy,,1930
Let Us Be Gay,Robert Z. Leonard,,Comedy drama,,1930
Let's Go Native,Leo McCarey,,Musical comedy,,1930
The Life of the Party,Roy Del Ruth,,Musical comedy,,1930
Lightnin',Henry King,,Comedy,,1930
Lilies of the Field,Alexander Korda,,Drama,,1930
Little Accident,William James Craft,,Comedy,,1930
Loose Ankles,Ted Wilde,,Romantic comedy,,1930
Lord Byron of Broadway,Harry Beaumont,"Charles Kaley, Ethelind Terry",Musical drama,,1930
The Lottery Bride,Paul L. Stein,,Musical,,1930
Lotus Lady,Phil Rosen,,Drama,,1930
Lovin' the Ladies,Melville W. Brown,,Comedy,,1930
Madam Satan,Cecil B. DeMille,,Drama,,1930
Mamba,Albert S. Rogell,,,,1930
Mammy,Michael Curtiz,,Musical,,1930
The Man from Blankley's,Alfred E. Green,,Comedy,,1930
A Man from Wyoming,Rowland V. Lee,,Western,,1930
Man to Man,Allan Dwan,,Drama,,1930
Manslaughter,George Abbott,,Drama,,1930
The Matrimonial Bed,Michael Curtiz,,Comedy,,1930
Maybe It's Love,William A. Wellman,,Musical comedy,,1930
The Medicine Man,Scott Pembroke,,Comedy,,1930
Men Without Women,John Ford,,Drama,,1930
Min and Bill,George W. Hill,,Comedy drama,,1930
Moby Dick,Lloyd Bacon,,Drama,,1930
Monte Carlo,Ernst Lubitsch,,Musical,,1930
Morocco,Josef von Sternberg,,Drama,,1930
Mothers Cry,Hobart Henley,,Drama,,1930
Murder Will Out,Clarence G. Badger,,Mystery,,1930
New Movietone Follies of 1930,Benjamin Stoloff,,Musical,,1930
"No, No, Nanette",Clarence G. Badger,,Musical,,1930
Not So Dumb,King Vidor,,Comedy,,1930
A Notorious Affair,Lloyd Bacon,,Romantic drama,,1930
Numbered Men,Mervyn LeRoy,,Prison drama,,1930
The Office Wife,Lloyd Bacon,,Romance,,1930
Oklahoma Cyclone,John P. McCarthy,,Western,,1930
Old English,Alfred E. Green,,Drama,,1930
On Your Back,Guthrie McClintic,,Drama,,1930
Only the Brave,Frank Tuttle,,"Drama, War",,1930
The Other Tomorrow,Lloyd Bacon,,Drama,,1930
Our Blushing Brides,,,Drama,,1930
Outside the Law,Tod Browning,,Drama,,1930
Outward Bound,Robert Milton,,Drama,,1930
Paid,Sam Wood,,Drama,,1930
Paramount on Parade,,,Musical,,1930
Part Time Wife,Leo McCarey,,Comedy,,1930
Party Girl,Victor Halperin,,Drama,,1930
The Pay-Off,Lowell Sherman,,Drama,,1930
Peacock Alley,Marcel de Sano,,,,1930
Playing Around,Mervyn LeRoy,,Drama,,1930
Puttin' On The Ritz,Edward Sloman,,Musical,,1930
Raffles,George Fitzmaurice,,,,1930
Rain Or Shine,Frank Capra,,Comedy,,1930
Reaching for the Moon,Edmund Goulding,,Musical,,1930
Redemption,Fred Niblo,,Drama,,1930
Renegades,Victor Fleming,,Western,,1930
The Return of Dr. Fu Manchu,Rowland V. Lee,,Detective,,1930
The Right to Love,Richard Wallace,,Drama,,1930
River's End,Michael Curtiz,,Drama,,1930
Road to Paradise,William Beaudine,,Drama,,1930
The Rogue Song,Lionel Barrymore,,Operetta,,1930
Romance,Clarence Brown,,Romance,,1930
The Royal Family of Broadway,George Cukor,,Comedy,,1930
The Runaway Bride,Donald Crisp,,Drama,,1930
Safety in Numbers,Victor Schertzinger,,"Musical, Comedy",,1930
The Sap from Syracuse,A. Edward Sutherland,,Comedy,,1930
Scarlet Pages,Ray Enright,,Crime drama,,1930
Second Choice,Howard Bretherton,,Romance,,1930
The Second Floor Mystery,Roy Del Ruth,,Mystery,,1930
Second Honeymoon,Phil Rosen,,"Comedy, Drama",,1930
She Couldn't Say No,Lloyd Bacon,,Drama,,1930
Show Girl in Hollywood,Mervyn LeRoy,,Musical comedy,,1930
So This Is London,John G. Blystone,,Comedy,,1930
The Social Lion,A. Edward Sutherland,,Comedy,,1930
A Soldier's Plaything,Michael Curtiz,,Comedy drama,,1930
Son of the Gods,Frank Lloyd,,Romance,,1930
Song o' My Heart,Frank Borzage,,Musical,,1930
Song of the Flame,Alan Crosland,,Operetta,,1930
Song of the West,Ray Enright,,Musical,,1930
Soup to Nuts,Benjamin Stoloff,,Comedy,,1930
The Storm,William Wyler,,Western,,1930
Street of Chance,John Cromwell,,Comedy,,1930
Strictly Modern,William A. Seiter,,Romance,,1930
Such Men Are Dangerous,Kenneth Hawks,,Drama,,1930
Sunny,William A. Seiter,,Musical,,1930
Sunny Skies,Norman Taurog,,Comedy. Musical,,1930
Sweet Kitty Bellairs,Alfred E. Green,,Musical comedy,,1930
Sweet Mama,Edward F. Cline,,Drama,,1930
Sweethearts and Wives,Clarence G. Badger,,Mystery,,1930
The Texan,John Cromwell,,Western,,1930
Those Who Dance,William Beaudine,,Crime,,1930
Three Faces East,Roy Del Ruth,,Spy drama,,1930
Thus is Life,George Crone,,Romantic comedy,Spanish language,1930
Tom Sawyer,John Cromwell,,Adventure,,1930
Top Speed,Mervyn LeRoy,,"Musical, Comedy",,1930
Troopers Three,,,Comedy,,1930
True to the Navy,Frank Tuttle,,Comedy,,1930
The Truth About Youth,William A. Seiter,,Drama,,1930
Under a Texas Moon,Michael Curtiz,,"Western, Comedy",,1930
The Unholy Three,Jack Conway,,"Drama, Crime",,1930
Up the River,John Ford,,"Comedy, Drama",,1930
The Utah Kid,Richard Thorpe,,Western,,1930
The Vagabond King,Ludwig Berger,,Musical,,1930
The Virtuous Sin,George Cukor,,Comedy drama,,1930
War Nurse,Edgar Selwyn,,"Drama, War",,1930
Way for a Sailor,Sam Wood,,,,1930
Way Out West,Fred Niblo,,"Comedy, Western",,1930
What a Man!,George Crone,,Romantic comedy,,1930
What a Widow!,Allan Dwan,,Romantic comedy,,1930
Whoopee!,Thornton Freeland,,Musical,,1930
Wide Open,Archie Mayo,,Comedy,,1930
The Widow From Chicago,Edward F. Cline,,"Drama, Crime",,1930
Wild Company,Leo McCarey,,Drama,,1930
The Woman Racket,Albert H. Kelley,,"Drama, Crime",,1930
Worldly Goods,Phil Rosen,,,[1],1930
Young Eagles,William A. Wellman,,Drama,,1930
Young Man of Manhattan,Monta Bell,,Comedy,,1930
24 Hours,Marion Gering,,Drama,,1931
Alexander Hamilton,John G. Adolfi,,Drama,,1931
Alice in Wonderland,Bud Pollard,,Fantasy,,1931
An American Tragedy,Josef von Sternberg,,Drama,,1931
Annabelle's Affairs,Alfred L. Werker,,Comedy,,1931
Are These Our Children?,Wesley Ruggles,,Drama,,1931
Arizona Terror,Phil Rosen,,Western,,1931
Arrowsmith,John Ford,,Drama,,1931
Bachelor Apartment,Lowell Sherman,,Comedy,,1931
The Bachelor Father,Robert Z. Leonard,,Comedy,[1],1931
Bad Girl,Frank Borzage,,Drama,,1931
Bad Sister,Hobart Henley,,Drama,,1931
The Bargain,Robert Milton,,Drama,,1931
Behind Office Doors,Melville W. Brown,,Drama,,1931
Big Business Girl,William A. Seiter,,Romance,,1931
The Big Gamble,Fred Niblo,,Drama,,1931
The Black Camel,Hamilton MacFadden,,"Drama, Crime",,1931
Blonde Crazy,Roy Del Ruth,,Comedy,,1931
Border Law,Louis King,,Western,,1931
Born to Love,Paul L. Stein,,Drama,,1931
Branded Men,Phil Rosen,,Western,,1931
The Brat,John Ford,,Comedy,,1931
Broadminded,Mervyn LeRoy,,Comedy,,1931
Captain Applejack,Hobart Henley,,Drama,,1931
Caught Plastered,William A. Seiter,,Comedy,,1931
The Champ,King Vidor,,Drama,,1931
Chances,Allan Dwan,,Drama,,1931
Charlie Chan Carries On,Hamilton MacFadden,,Mystery,Fox,1931
Chinatown After Dark,Stuart Paton,,"Crime, Drama",,1931
Cimarron,Wesley Ruggles,,"Drama, Western",,1931
City Lights,Charles Chaplin,,"Comedy, Drama",,1931
City Streets,Rouben Mamoulian,,"Drama, Crime",,1931
Clearing the Range,Otto Brower,,Western,,1931
The Common Law,Paul L. Stein,,Drama,,1931
A Connecticut Yankee,David Butler,,Comedy,,1931
Cracked Nuts,Edward F. Cline,,Comedy,,1931
The Criminal Code,Howard Hawks,,"Drama, Crime",,1931
The Cuban Love Song,W. S. Van Dyke,,Musical,,1931
Daddy Long Legs,Alfred Santell,,Comedy,,1931
Daughter of the Dragon,Lloyd Corrigan,,Drama,,1931
Demon of the Sea,Michael Curtiz,,Drama,Lost film,1931
Dirigible,Frank Capra,,Adventure,,1931
Dishonored,Josef von Sternberg,,"Drama, War",,1931
Don't Bet on Women,William K. Howard,,Comedy,,1931
Dr. Jekyll and Mr. Hyde,Rouben Mamoulian,,"Drama, Horror",,1931
Dracula,Tod Browning,,Horror,,1931
The Drums of Jeopardy,George B. Seitz,,"Drama, Thriller",,1931
The Easiest Way,Jack Conway,,Drama,,1931
El codigo penal,Phil Rosen,,Prison drama,,1931
El Impostor,Lewis Seiler,,Drama,,1931
Eran Trece,David Howard,,Comedy. Mystery,,1931
Everything's Rosie,Clyde Bruckman,,Comedy,,1931
Expensive Women,Hobart Henley,,Drama,,1931
Fair Warning,Alfred L. Werker,,Western,,1931
Fifty Million Frenchmen,Lloyd Bacon,,Musical comedy,,1931
The Finger Points,John Francis Dillon,,"Drama, Crime",,1931
Finn and Hattie,Norman Taurog,,Comedy,,1931
Five and Ten,Robert Z. Leonard,,Drama,,1931
Five Star Final,Mervyn LeRoy,,Drama,,1931
Flying High,Charles Reisner,,Comedy,,1931
Forbidden Adventure,Norman Taurog,,Comedy,Aka Newly Rich,1931
Frankenstein,James Whale,,,,1931
A Free Soul,Clarence Brown,,Drama,,1931
The Front Page,Lewis Milestone,,Comedy,,1931
The Gang Buster,A. Edward Sutherland,,Comedy,,1931
Gentleman's Fate,Mervyn LeRoy,,Drama,,1931
The Girl Habit,Edward F. Cline,,Comedy,,1931
Girls About Town,George Cukor,,Comedy,,1931
God's Gift to Women,Michael Curtiz,,Musical comedy,,1931
Gold Dust Gertie,Lloyd Bacon,,Musical comedy,,1931
Goldie,Benjamin Stoloff,,Comedy,,1931
Graft,Christy Cabanne,,"Drama, Thriller",,1931
The Great Lover,Harry Beaumont,,Drama,,1931
Grief Street,Richard Thorpe,,Romantic crime/mystery,,1931
The Guardsman,Sidney Franklin,,Comedy drama,,1931
The Guilty Generation,Rowland V. Lee,,Drama,,1931
Guilty Hands,W. S. Van Dyke,,"Drama, Crime",,1931
Hard Hombre,Otto Brower,,Western,,1931
Hell Divers,George W. Hill,,"Drama, Adventure",,1931
Honor Among Lovers,Dorothy Arzner,,Drama,,1931
Honor of the Family,Lloyd Bacon,,Drama,,1931
The Hot Heiress,Clarence G. Badger,,Comedy,,1931
A House Divided,William Wyler,,Drama,,1931
Huckleberry Finn,Norman Taurog,,Comedy,,1931
Hush Money,Sidney Lanfield,,Comedy,,1931
I Take This Woman,Marion Gering,,Romance,,1931
Illicit,Archie Mayo,,Drama,,1931
Indiscreet,Leo McCarey,,"Drama, Musical",,1931
Inspiration,Clarence Brown,,Drama,,1931
Iron Man,Tod Browning,,Film noir,,1931
It's a Wise Child,Robert Z. Leonard,,Comedy,,1931
June Moon,A. Edward Sutherland,,Comedy,,1931
Just a Gigolo,Jack Conway,,Comedy,,1931
Kept Husbands,Lloyd Bacon,,Drama,,1931
Kiki,Sam Taylor,,Romantic comedy,,1931
Kiss Me Again,William A. Seiter,,Comedy,,1931
L'aviateur,William A. Seiter,,Comedy,[5],1931
La ley del harem,Lewis Seiler,,Drama,,1931
Ladies' Man,Lothar Mendes,,Drama,,1931
Ladies of the Big House,Marion Gering,,Drama,,1931
The Lady Who Dared,William Beaudine,,Drama,,1931
The Last Flight,William Dieterle,,Drama,,1931
Laugh and Get Rich,Gregory La Cava,,Comedy,,1931
The Lawyer's Secret,Louis J. Gasnier,,Drama,,1931
Little Caesar,Mervyn LeRoy,,"Drama, Crime",,1931
Local Boy Makes Good,Mervyn LeRoy,,Comedy,,1931
Lonely Wives,Russell Mack,,Comedy,,1931
The Mad Genius,Michael Curtiz,,"Drama, Thriller",,1931
The Maltese Falcon,Roy Del Ruth,,Drama,,1931
Manhattan Parade,Lloyd Bacon,,Comedy,,1931
Mata Hari,George Fitzmaurice,,Drama,,1931
Men in Her Life,William Beaudine,,Drama,,1931
Men of Chance,George Archainbaud,,"Drama, Crime",,1931
Men of the Sky,Alfred E. Green,,Musical,,1931
Merely Mary Ann,Henry King,,Romantic comedy,,1931
Mi ultimo amor,Lewis Seiler,,Romance,,1931
The Millionaire,John G. Adolfi,,"Comedy, Drama",,1931
The Miracle Woman,Frank Capra,,Drama,,1931
Misbehaving Ladies,William Beaudine,,Comedy,,1931
Monkey Business,Norman Z. McLeod,,Comedy,,1931
My Past,Roy Del Ruth,,Drama,,1931
The Naughty Flirt,Edward F. Cline,,Comedy,,1931
Never the Twain Shall Meet,W.S. Van Dyke,,Drama,,1931
Night Nurse,William A. Wellman,,Drama,,1931
Once a Lady,Guthrie McClintic,,Drama,,1931
Other Men's Women,William A. Wellman,,Drama,,1931
Over the Hill,Henry King,,Drama,,1931
The Painted Desert,Howard Higgin,,Western,,1931
Palmy Days,A. Edward Sutherland,,Musical comedy,,1931
Pardon Us,James Parrott,,Comedy,,1931
Party Husband,Clarence G. Badger,,Comedy,,1931
Peach O'Reno,William A. Seiter,,Comedy,,1931
Penrod and Sam,William Beaudine,,Comedy,,1931
The Phantom,Alan James,,Horror,,1931
Platinum Blonde,Frank Capra,,Comedy,,1931
The Pocatello Kid,Phil Rosen,,Western,[8],1931
Politics,Charles Reisner,,Romantic comedy,,1931
Possessed,Clarence Brown,,Drama,,1931
Private Lives,Sidney Franklin,,"Comedy, Drama",,1931
The Public Enemy,William A. Wellman,,"Drama, Crime",,1931
Quick Millions,Rowland Brown,,"Drama, Crime",,1931
Range Law,Phil Rosen,,Western,,1931
Reckless Living,Cyril Gardner,,Drama,,1931
Resurrection,Edwin Carewe,,Drama,,1931
Rich Man's Folly,John Cromwell,,Drama,,1931
The Right of Way,Frank Lloyd,,Drama,,1931
The Road to Reno,Richard Wallace,,"Comedy, Drama",,1931
The Road to Singapore,Alfred E. Green,,Romance,,1931
The Ruling Voice,Rowland V. Lee,,Crime drama,,1931
Safe in Hell,William A. Wellman,,Thriller,,1931
Scandal Sheet,John Cromwell,,Drama,,1931
The Sea Ghost,William Nigh,,Drama,,1931
Seas Beneath,John Ford,,Adventure,,1931
The Secret Call,Stuart Walker,,Drama,,1931
The Secret Six,George W. Hill,,Crime,,1931
Secrets of a Secretary,George Abbott,,Drama,,1931
Side Show,Roy Del Ruth,,Musical comedy,,1931
Sidewalks of New York,,,Comedy,,1931
The Sin of Madelon Claudet,Edgar Selwyn,,Drama,,1931
Sit Tight,Lloyd Bacon,,Musical comedy,,1931
Six Cylinder Love,Thornton Freeland,,Comedy,,1931
Skippy,Norman Taurog,,"Comedy, Drama",,1931
Smart Money,Alfred E. Green,,"Drama, Crime",,1931
The Smiling Lieutenant,Ernst Lubitsch,,Musical comedy,,1931
Sooky,Norman Taurog,,Adventure,,1931
The Spirit of Notre Dame,Russell Mack,,,,1931
The Squaw Man,Cecil B. DeMille,,Drama,,1931
The Star Witness,William A. Wellman,,Crime drama,,1931
The Stolen Jools,William C. McGann,,Comedy,,1931
Street Scene,King Vidor,,Drama,,1931
Strictly Dishonorable,John M. Stahl,,Comedy,,1931
The Struggle,D.W. Griffith,,Drama,,1931
Susan Lenox (Her Fall and Rise),Robert Z. Leonard,,Drama,,1931
Svengali,Archie Mayo,,Drama,,1931
Tabu,F. W. Murnau,,Drama,,1931
Tarnished Lady,George Cukor,,Drama,,1931
Ten Cents a Dance,Lionel Barrymore,,Romance drama,,1931
Ten Nights in a Barroom,William A. O'Connor,,Drama,,1931
This Modern Age,Nick Grinde,,Drama,,1931
The Tip-Off,Albert S. Rogell,,Comedy,,1931
Tonight or Never,Mervyn LeRoy,,Comedy,,1931
Too Many Cooks,William A. Seiter,,Romantic comedy,,1931
To Young to Marry,Mervyn LeRoy,,Comedy,,1931
Trader Horn,W. S. Van Dyke,,"Drama, Adventure",,1931
